Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
208,SP2,16/12/01,Ferrol,Numancia,2,1,H,1,1,D,,,,,,,1.91,3.1,3.6,,,
209,SP2,16/12/01,Santander,Murcia,1,0,H,1,0,H,1.65,3.1,5,1.65,2.9,4.4,1.67,3.1,5,1.6,3.2,5
210,SP2,16/12/01,Salamanca,Recreativo,2,3,A,1,1,D,2.2,2.8,3.15,2.2,2.7,2.9,2.1,2.8,3.4,2.1,2.8,3.25
211,SP2,22/12/01,Albacete,Ferrol,2,1,H,1,1,D,1.95,2.75,4,1.9,2.8,3.4,1.83,3,4,1.9,2.85,3.85
212,SP2,22/12/01,Ath Madrid,Santander,2,0,H,0,0,D,1.65,3.1,5,1.65,3,4.2,1.67,3.1,5,1.7,3.1,4.5
213,SP2,23/12/01,Badajoz,Levante,2,2,D,0,1,A,1.7,3,4.8,1.65,2.9,4.4,1.67,3.1,5,1.65,3,5
214,SP2,23/12/01,Cordoba,Eibar,0,2,A,0,1,A,2.05,2.75,3.6,2,2.7,3.3,2.1,2.8,3.4,2,2.8,3.6
215,SP2,22/12/01,Poli Ejido,Extremadura,0,0,D,0,0,D,2.55,2.65,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.35,2.75,2.85
216,SP2,22/12/01,Elche,Jaen,1,3,A,1,1,D,1.9,2.85,4,2,2.7,3.3,1.91,2.88,4,2,2.75,3.7
217,SP2,23/12/01,Gimnastic,Oviedo,1,0,H,0,0,D,3.05,2.8,2.25,2.9,2.7,2.2,3,2.88,2.25,3.1,2.85,2.15
218,SP2,22/12/01,Murcia,Burgos,1,2,A,0,2,A,2.4,2.7,2.95,2.4,2.7,2.6,2.3,2.8,3,2.4,2.7,2.85
219,SP2,22/12/01,Numancia,Leganes,1,0,H,0,0,D,2,2.8,3.7,2,2.7,3.3,2,2.8,3.75,1.95,2.8,3.75
220,SP2,23/12/01,Sp Gijon,Salamanca,1,1,D,1,1,D,2.2,2.75,3.25,2.2,2.7,2.9,2.2,2.88,3.1,2.2,2.8,3.1
221,SP2,23/12/01,Xerez,Recreativo,0,0,D,0,0,D,1.95,2.75,3.95,1.9,2.8,3.4,1.83,3,4,1.9,2.85,3.85
222,SP2,05/01/02,Oviedo,Xerez,1,0,H,0,0,D,1.85,3.1,3.75,2.2,2.8,2.8,2.1,2.88,3.3,2.25,2.75,3.05
223,SP2,05/01/02,Santander,Poli Ejido,2,1,H,1,1,D,1.35,3.8,8,1.35,3.5,7,1.4,3.6,7.5,1.35,3.8,7.5
224,SP2,06/01/02,Burgos,Ath Madrid,0,4,A,0,1,A,3.1,2.75,2.25,2.8,2.8,2.2,3,2.88,2.25,2.8,2.75,2.4
225,SP2,06/01/02,Eibar,Elche,3,1,H,0,0,D,1.95,2.8,3.9,2,2.8,3.1,1.91,3,3.75,2,2.8,3.6
226,SP2,06/01/02,Extremadura,Gimnastic,1,0,H,0,0,D,1.8,2.9,4.4,1.8,2.9,3.6,1.8,3.1,4,1.85,2.9,4
227,SP2,06/01/02,Jaen,Murcia,0,0,D,0,0,D,2.1,2.8,3.45,2,2.8,3.1,1.91,3,3.75,2.05,2.8,3.4
228,SP2,06/01/02,Leganes,Albacete,1,2,A,1,1,D,2.3,2.8,3,2.4,2.7,2.6,2.3,2.88,2.9,2.45,2.75,2.75
229,SP2,06/01/02,Levante,Numancia,0,1,A,0,0,D,2.4,2.75,2.9,2.3,2.7,2.7,2.25,2.8,3.1,2.45,2.7,2.8
230,SP2,06/01/02,Ferrol,Cordoba,1,3,A,0,0,D,1.85,2.8,4.3,1.8,2.9,3.6,1.8,3.1,4,1.85,2.85,4.1
231,SP2,06/01/02,Recreativo,Sp Gijon,0,0,D,0,0,D,1.9,2.8,4.1,1.8,2.9,3.6,,,,1.8,3,4
232,SP2,06/01/02,Salamanca,Badajoz,2,2,D,2,1,H,2.15,2.75,3.35,2,2.8,3.1,2.1,2.88,3.3,2.05,2.75,3.5
233,SP2,12/01/02,Ferrol,Elche,1,0,H,0,0,D,1.9,2.8,3.95,2,2.7,3.3,1.91,2.88,4,2,2.7,3.8
234,SP2,12/01/02,Recreativo,Badajoz,2,0,H,1,0,H,1.98,2.8,3.65,2.1,2.7,3.1,2,2.88,3.6,2,2.7,3.8
235,SP2,13/01/02,Burgos,Poli Ejido,2,0,H,1,0,H,1.4,3.75,6.5,1.45,3.3,5.5,1.44,3.6,6.5,1.5,3.4,5.75
236,SP2,13/01/02,Eibar,Murcia,0,1,A,0,1,A,1.7,3,4.65,1.7,2.9,4,1.73,3.1,4.5,1.65,3,5
237,SP2,13/01/02,Extremadura,Oviedo,1,1,D,1,0,H,2.52,2.7,2.7,2.4,2.7,2.6,2.38,2.88,2.8,2.4,2.75,2.85
238,SP2,13/01/02,Jaen,Ath Madrid,1,0,H,1,0,H,3.7,3.1,1.75,3.6,2.9,1.8,3.75,3,1.91,4.5,2.9,1.8
