Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
142,I2,07/12/01,Reggina,Salernitana,2,2,D,0,1,A,1.78,2.8,4.8,1.7,2.7,4.4,,,,1.75,2.85,4.75
143,I2,09/12/01,Bari,Ancona,2,1,H,2,0,H,1.75,2.8,5,1.75,2.7,4.2,,,,1.75,2.8,4.75
144,I2,09/12/01,Cagliari,Pistoiese,2,2,D,1,1,D,1.7,2.8,5.5,1.65,2.7,4.8,,,,1.65,2.85,5.5
145,I2,09/12/01,Cittadella,Messina,0,1,A,0,0,D,2.3,2.7,3.1,2.3,2.6,2.8,,,,2.25,2.7,3.1
146,I2,09/12/01,Crotone,Siena,1,2,A,0,0,D,1.85,2.8,4.35,1.8,2.6,4,,,,1.85,2.8,4.2
147,I2,09/12/01,Empoli,Como,0,1,A,0,0,D,1.9,2.7,4.3,1.9,2.5,3.9,,,,1.85,2.85,4.1
148,I2,09/12/01,Napoli,Cosenza,4,2,H,2,1,H,2,2.75,3.8,1.9,2.6,3.7,,,,2,2.6,4
149,I2,09/12/01,Palermo,Vicenza,1,3,A,0,1,A,2.25,2.7,3.2,2.3,2.6,2.8,,,,2.3,2.65,3.1
150,I2,09/12/01,Sampdoria,Ternana,4,2,H,3,0,H,1.65,2.9,5.6,1.6,2.8,5,,,,1.6,2.9,6
151,I2,10/12/01,Modena,Genoa,0,0,D,0,0,D,1.95,2.7,4,1.9,2.5,3.9,,,,1.9,2.65,4.3
152,I2,14/12/01,Pistoiese,Napoli,1,1,D,1,1,D,2.58,2.65,2.75,2.6,2.6,2.5,,,,2.5,2.65,2.8
153,I2,16/12/01,Ancona,Modena,0,3,A,0,1,A,2.52,2.6,2.88,2.4,2.6,2.7,,,,2.5,2.65,2.8
154,I2,16/12/01,Como,Sampdoria,3,1,H,1,1,D,2.05,2.8,3.55,2.1,2.5,3.4,,,,2,2.7,3.75
155,I2,16/12/01,Cosenza,Cagliari,1,0,H,0,0,D,1.95,2.85,3.8,1.9,2.6,3.8,,,,1.9,2.75,4
156,I2,16/12/01,Genoa,Empoli,3,3,D,3,2,H,2.18,2.65,3.4,2.1,2.5,3.4,,,,2.1,2.6,3.6
157,I2,16/12/01,Messina,Bari,1,2,A,1,1,D,2.18,2.65,3.4,2.1,2.6,3.2,,,,2.2,2.65,3.3
158,I2,16/12/01,Salernitana,Palermo,2,1,H,0,1,A,1.78,2.85,4.6,1.8,2.6,4.1,,,,1.7,2.75,5.4
159,I2,16/12/01,Siena,Cittadella,0,1,A,0,1,A,1.8,2.8,4.6,1.8,2.6,4.1,,,,1.8,2.75,4.6
160,I2,16/12/01,Ternana,Crotone,3,2,H,1,0,H,2,2.85,3.6,1.9,2.6,3.8,,,,1.9,2.75,4
161,I2,16/12/01,Vicenza,Reggina,1,2,A,1,2,A,1.95,2.7,4.05,2.1,2.5,3.4,,,,2,2.65,3.85
162,I2,19/12/01,Ancona,Sampdoria,3,2,H,0,2,A,2.45,2.65,2.95,2.5,2.6,2.6,,,,2.5,2.7,2.75
163,I2,19/12/01,Como,Ternana,2,0,H,1,0,H,1.48,3.3,6.7,1.4,3.2,6.5,,,,1.45,3.4,6.5
