Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
90,I2,05/11/02,Vicenza,Genoa,1,0,H,1,0,H,2.1,2.62,3.75,2.05,2.75,3.75,2,2.7,3.3,2,2.62,4,2,2.75,3.75,2.1,2.7,3.45,1.93,1.72
91,I2,07/11/02,Sampdoria,Livorno,2,0,H,1,0,H,1.8,2.7,5,1.7,2.85,5.25,1.65,2.9,4.4,1.8,2.7,5,1.7,2.875,5,1.6,3,5.5,1.95,1.65
92,I2,09/11/02,Vicenza,Bari,1,1,D,1,1,D,2.2,2.62,3.4,2.1,2.6,3.75,2.2,2.6,3.1,2.3,2.62,3.25,2.2,2.625,3.4,2.25,2.6,3.2,1.95,1.65
93,I2,10/11/02,Ascoli,Verona,0,0,D,0,0,D,,,,2.2,2.6,3.45,2.2,2.6,3.1,2.2,2.62,3.4,2.2,2.6,3.5,2.1,2.7,3.4,1.9,1.7
94,I2,10/11/02,Cosenza,Cagliari,1,1,D,1,0,H,2.5,2.62,2.9,2.5,2.6,2.9,2.5,2.5,2.7,2.5,2.5,3.1,2.5,2.625,2.875,2.45,2.5,3,1.95,1.65
95,I2,10/11/02,Genoa,Napoli,3,1,H,1,1,D,2.5,2.62,2.9,2.5,2.65,3,2.5,2.5,2.7,2.5,2.62,2.9,2.5,2.6,2.9,2.35,2.6,3,1.85,1.75
96,I2,10/11/02,Lecce,Ternana,0,0,D,0,0,D,1.8,2.87,4.5,1.8,2.75,4.75,1.75,2.7,4.2,1.9,2.62,4.5,1.8,2.75,4.8,1.7,2.9,4.75,1.85,1.75
97,I2,10/11/02,Messina,Livorno,2,1,H,1,0,H,2.3,2.7,3.1,2.2,2.5,3.65,2.2,2.6,3.1,,,,2.25,2.7,3.2,2.25,2.7,3,1.85,1.75
98,I2,10/11/02,Palermo,Venezia,0,2,A,0,0,D,1.57,3.1,6,1.6,3,5.85,1.55,2.9,5.2,1.57,3.2,5.5,1.6,3.1,5.5,1.55,3.1,5.5,1.85,1.75
99,I2,10/11/02,Salernitana,Sampdoria,0,1,A,0,1,A,2.9,2.5,2.62,2.93,2.62,2.65,2.6,2.6,2.5,,,,2.75,2.6,2.625,2.65,2.6,2.6,1.75,1.85
100,I2,10/11/02,Triestina,Ancona,3,2,H,2,1,H,2.3,2.62,3.2,2.33,2.6,3.35,2.2,2.6,3.1,2.25,2.5,3.5,2.3,2.6,3.25,2.1,2.7,3.4,1.9,1.7
101,I2,11/11/02,Siena,Catania,4,3,H,2,2,D,1.72,2.87,5,1.7,2.95,5.4,1.7,2.8,4.2,1.8,2.7,5,1.75,2.8,5,1.7,2.9,4.75,1.95,1.65
102,I2,15/11/02,Sampdoria,Genoa,2,1,H,2,0,H,2,2.625,4,2,2.83,3.95,1.9,2.7,3.6,,,,2,2.6,4.2,1.9,2.7,4,,
103,I2,17/11/02,Ancona,Cosenza,1,0,H,0,0,D,1.727,2.75,5.5,1.72,2.75,5.5,1.7,2.8,4.2,1.75,2.7,5.5,1.75,2.7,5.5,1.7,2.8,5,,
104,I2,17/11/02,Bari,Salernitana,1,1,D,0,1,A,1.615,3.1,5.5,1.65,3,5.3,1.65,2.8,4.6,1.73,2.9,5,1.667,3.1,5,1.65,2.9,5.2,,
105,I2,17/11/02,Livorno,Ascoli,2,0,H,1,0,H,1.909,2.625,4.5,1.95,2.65,4.4,1.9,2.65,3.7,1.91,2.62,4.5,1.909,2.7,4.333,1.9,2.7,4,,
106,I2,17/11/02,Napoli,Lecce,1,1,D,1,1,D,2.3,2.5,3.4,2.3,2.55,3.42,2.3,2.6,2.8,2.38,2.5,3.3,2.3,2.5,3.4,2.25,2.6,3.2,,
107,I2,17/11/02,Ternana,Siena,1,1,D,0,0,D,2,2.5,4.5,2,2.55,4.75,1.9,2.65,3.7,2,2.5,4.5,1.95,2.6,4.333,1.9,2.7,4,,
108,I2,17/11/02,Venezia,Vicenza,1,2,A,0,0,D,2.1,2.625,3.75,2.08,2.6,3.8,2,2.6,3.5,2,2.62,4,2.1,2.6,3.75,2,2.65,3.75,,
109,I2,17/11/02,Verona,Triestina,1,0,H,1,0,H,2.2,2.625,3.4,2.2,2.65,3.6,2.1,2.6,3.3,2.2,2.6,3.5,2.1,2.6,3.75,2.05,2.6,3.7,,
110,I2,18/11/02,Catania,Palermo,2,0,H,1,0,H,2.6,2.6,2.8,2.6,2.55,2.85,2.5,2.6,2.6,2.6,2.6,2.8,2.6,2.6,2.8,2.5,2.6,2.8,,
111,I2,22/11/02,Ascoli,Ancona,1,0,H,1,0,H,2.4,2.6,3.1,2.52,2.62,3.16,2.45,2.5,2.8,2.4,2.5,3.2,2.4,2.6,3,2.4,2.5,3.1,2.22,1.57
112,I2,24/11/02,Cosenza,Venezia,1,2,A,0,2,A,2.1,2.6,3.75,2.1,2.65,3.7,2,2.6,3.1,2.1,2.62,3.75,2.1,2.625,3.6,2.1,2.55,3.7,1.95,1.65
113,I2,24/11/02,Lecce,Livorno,1,0,H,0,0,D,1.8,2.7,5,1.81,2.8,4.55,1.8,2.8,3.7,1.83,2.75,4.5,1.8,2.8,4.5,1.8,2.7,4.75,2.05,1.6
114,I2,24/11/02,Messina,Bari,2,2,D,0,1,A,2.25,2.6,3.4,2.3,2.55,3.35,2.3,2.5,3.1,2.3,2.6,3.3,2.3,2.5,3.4,2.3,2.5,3.3,2.05,1.6
115,I2,24/11/02,Palermo,Ternana,2,1,H,1,0,H,1.833,2.625,5,1.85,2.7,4.6,1.85,2.75,3.6,2,2.6,4.2,1.909,2.625,4.333,1.9,2.55,4.6,1.95,1.65
116,I2,24/11/02,Salernitana,Napoli,2,0,H,2,0,H,2.5,2.6,2.9,2.6,2.5,2.95,2.5,2.6,2.6,2.5,2.62,2.88,2.6,2.5,2.875,2.55,2.5,2.9,1.7,1.9
117,I2,24/11/02,Siena,Sampdoria,1,0,H,0,0,D,2.75,2.5,2.75,2.85,2.45,2.75,2.6,2.5,2.6,2.88,2.3,2.88,2.75,2.4,2.8,2.75,2.4,2.8,2.15,1.55
118,I2,24/11/02,Triestina,Cagliari,3,0,H,2,0,H,2.3,2.6,3.25,2.3,2.5,3.5,2.3,2.55,3,2.2,2.6,3.5,2.3,2.5,3.3,2.3,2.5,3.3,2.15,1.55
119,I2,24/11/02,Vicenza,Catania,2,1,H,1,0,H,1.909,2.625,4.5,1.9,2.65,4.5,1.9,2.6,3.8,1.9,2.7,4.33,1.9,2.6,4.5,1.9,2.6,4.4,1.85,1.75
